,update,insert,delete,move
HdlIdDef-HdlModuleDef,3.0,,1.0,
HdlOp-InfixExpression_HdlIdDef-HdlOp-InfixExpression,2.0,,,
HdlOp-InfixExpression_HdlIdDef-HdlOp-DOWNTO,2.0,,,
HdlStmIf-HdlStmIf,1.0,,1.0,
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,8.0,,,
HdlStmAssign-HdlStmIf,1.0,,,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-InfixExpression,2.0,,,
HdlStmIf-HdlStmCase,2.0,,,
HdlStmProcess-HdlModuleDef,2.0,1.0,1.0,
HdlModuleDef-HdlContext,2.0,1.0,1.0,
HdlModuleDec-HdlModuleDef,2.0,1.0,1.0,
HdlIdDef-HdlModuleDec,2.0,4.0,,
HdlOp-PARAMETRIZATION_HdlIdDef-HdlIdDef,2.0,1.0,,1.0
HdlOp-DOWNTO_HdlIdDef-HdlOp-PARAMETRIZATION,1.0,,,
HdlStmAssign-HdlModuleDef,,1.0,,
