,delete,update,move,insert
HdlIdDef-HdlModuleDef,5.0,1.0,1.0,12.0
HdlStmIf-HdlStmProcess,1.0,13.0,1.0,2.0
HdlStmProcess-HdlModuleDef,3.0,7.0,,2.0
HdlOp-Assignment_HdlStmCase-HdlStmCase,3.0,3.0,30.0,144.0
HdlStmAssign-HdlModuleDef,2.0,11.0,,8.0
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,2.0,3.0,,
HdlStmAssign-HdlStmIf,3.0,15.0,2.0,8.0
HdlOp-PrefixExpression_HdlStmIf-HdlOp-InfixExpression,1.0,1.0,,
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,3.0,5.0,2.0,3.0
HdlOp-RISING_HdlStmProcess-HdlStmProcess,1.0,,,2.0
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-TERNARY,,2.0,,
HdlIdDef-HdlModuleDec,,20.0,3.0,11.0
HdlDirection-HdlIdDef,,3.0,,
HdlOp-PARAMETRIZATION_HdlIdDef-HdlIdDef,,2.0,,
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,,2.0,2.0,1.0
HdlOp-Assignment_HdlStmIf-HdlStmIf,,4.0,2.0,1.0
HdlOp-Assignment_HdlStmProcess-HdlStmProcess,,1.0,1.0,
HdlOp-MemberAccessing_HdlStmProcess-HdlOp-Assignment,,2.0,,
HdlOp-InfixExpression_HdlStmProcess-HdlOp-Assignment,,2.0,,
HdlStmAssign-HdlStmCase,,7.0,1.0,13.0
HdlStmCase-HdlStmCase,,10.0,,
HdlOp-InfixExpression_HdlStmCase-HdlOp-Assignment,,1.0,2.0,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-InfixExpression,,1.0,,2.0
HdlOp-TERNARY_HdlStmAssign-HdlStmAssign,,1.0,,
HdlOp-InfixExpression_HdlStmAssign-HdlStmAssign,,7.0,1.0,2.0
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-MemberAccessing,,2.0,4.0,
HdlStmCase-HdlStmIf,,2.0,,
HdlOp-MemberAccessing_HdlStmCase-HdlOp-Assignment,,,1.0,
HdlStmIf-HdlStmIf,,,,1.0
