,insert,delete,update,move
HdlIdDef-HdlModuleDef,1.0,1.0,2.0,
HdlOp-FunctionCall_HdlStmIf-HdlStmIf,1.0,,,
HdlStmAssign-HdlModuleDef,2.0,2.0,,
HdlOp-PrefixExpression_HdlStmAssign-HdlStmAssign,2.0,,2.0,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-MemberAccessing,,1.0,,
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,,1.0,1.0,2.0
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,,1.0,1.0,
HdlStmAssign-HdlStmCase,,1.0,5.0,
HdlOp-PrefixExpression_HdlIdDef-HdlOp-TERNARY,,1.0,1.0,
HdlStmAssign-HdlStmIf,,,1.0,
HdlStmIf-HdlStmProcess,,,2.0,
HdlOp-MemberAccessing_HdlStmIf-HdlOp-InfixExpression,,,1.0,1.0
HdlStmCase-HdlStmIf,,,2.0,
HdlModuleDec-HdlModuleDef,,,2.0,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-TERNARY,,,,1.0
HdlOp-InfixExpression_HdlIdDef-HdlIdDef,,,,1.0
