,delete,move,update,insert
HdlIdDef-HdlModuleDec,6.0,3.0,9.0,4.0
HdlStmIf-HdlStmProcess,2.0,,12.0,4.0
HdlStmProcess-HdlModuleDef,3.0,2.0,6.0,4.0
HdlStmAssign-HdlModuleDef,6.0,,1.0,4.0
HdlOp-PrefixExpression_HdlStmAssign-HdlOp-MemberAccessing,5.0,,5.0,
HdlDirection-HdlIdDef,2.0,,3.0,1.0
HdlIdDef-HdlModuleDef,4.0,4.0,24.0,13.0
HdlOp-PARAMETRIZATION_HdlIdDef-HdlIdDef,2.0,2.0,1.0,
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,1.0,,1.0,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-TERNARY,1.0,,2.0,1.0
HdlOp-PrefixExpression_HdlIdDef-HdlOp-InfixExpression,1.0,,1.0,4.0
HdlOp-InfixExpression_HdlIdDef-HdlIdDef,1.0,4.0,5.0,5.0
HdlOp-DOWNTO_HdlStmAssign-HdlOp-MemberAccessing,1.0,,1.0,
HdlOp-TERNARY_HdlStmAssign-HdlStmAssign,,1.0,5.0,1.0
HdlStmAssign-HdlStmIf,,7.0,13.0,5.0
HdlOp-InfixExpression_HdlStmAssign-HdlStmAssign,,2.0,4.0,1.0
HdlOp-PrefixExpression_HdlStmIf-HdlStmIf,,1.0,,
HdlStmAssign-HdlStmProcess,,1.0,3.0,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-MemberAccessing,,1.0,,
HdlOp-MemberAccessing_HdlIdDef-HdlOp-PrefixExpression,,1.0,2.0,
HdlOp-PrefixExpression_HdlStmAssign-HdlOp-TERNARY,,1.0,2.0,1.0
HdlStmAssign-HdlStmCase,,,7.0,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-TERNARY,,,1.0,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-PrefixExpression,,,1.0,1.0
HdlOp-PrefixExpression_HdlStmAssign-HdlOp-InfixExpression,,,1.0,1.0
HdlStmProcess-HdlStmProcess,,,2.0,
HdlOp-FunctionCall_HdlStmProcess-HdlStmProcess,,,2.0,
HdlOp-DOWNTO_HdlIdDef-HdlOp-PARAMETRIZATION,,,3.0,
HdlStmCase-HdlStmIf,,,2.0,
HdlOp-FunctionCall_HdlStmCase-HdlStmCase,,,2.0,
HdlOp-InfixExpression_HdlIdDef-HdlOp-PrefixExpression,,,2.0,
HdlStmCase-HdlStmProcess,,,3.0,1.0
HdlStmFor-HdlStmProcess,,,1.0,
HdlOp-InfixExpression_HdlStmFor-HdlStmFor,,,1.0,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-InfixExpression,,,1.0,1.0
HdlStmIf-HdlStmIf,,,1.0,1.0
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,,,1.0,
HdlOp-PrefixExpression_HdlIdDef-HdlIdDef,,,2.0,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-PrefixExpression,,,1.0,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-InfixExpression,,,,3.0
HdlOp-MemberAccessing_HdlIdDef-HdlIdDef,,,,1.0
HdlOp-FunctionCall_HdlStmProcess-HdlOp-FunctionCall,,,,1.0
