,move,update,insert,delete
HdlIdDef-HdlModuleDec,5.0,21.0,21.0,3.0
HdlStmIf-HdlStmProcess,1.0,26.0,3.0,2.0
HdlOp-InfixExpression_HdlStmAssign-HdlStmAssign,1.0,2.0,1.0,
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,11.0,22.0,5.0,6.0
HdlOp-PARAMETRIZATION_HdlIdDef-HdlIdDef,4.0,10.0,2.0,2.0
HdlStmAssign-HdlStmIf,2.0,18.0,3.0,2.0
HdlOp-InfixExpression_HdlStmProcess-HdlOp-InfixExpression,1.0,3.0,,
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,6.0,32.0,4.0,6.0
HdlIdDef-HdlModuleDef,4.0,6.0,17.0,4.0
HdlStmAssign-HdlModuleDef,1.0,5.0,4.0,2.0
HdlDirection-HdlIdDef,,5.0,,1.0
HdlOp-DOWNTO_HdlIdDef-HdlOp-PARAMETRIZATION,,7.0,,
HdlStmIf-HdlStmIf,,7.0,1.0,
HdlStmProcess-HdlModuleDef,,15.0,5.0,6.0
HdlOp-InfixExpression_HdlStmAssign-HdlOp-InfixExpression,,1.0,3.0,
HdlOp-RISING_HdlStmProcess-HdlStmProcess,,4.0,,2.0
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-InfixExpression,,1.0,,1.0
HdlOp-Assignment_HdlStmProcess-HdlStmProcess,,1.0,,1.0
HdlOp-InfixExpression_HdlStmProcess-HdlOp-Assignment,,1.0,,1.0
HdlOp-PrefixExpression_HdlStmAssign-HdlStmAssign,,1.0,,1.0
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,,1.0,1.0,1.0
HdlOp-FALLING_HdlStmProcess-HdlStmProcess,,2.0,,
HdlModuleDef-HdlContext,,1.0,,
HdlOp-Assignment_HdlStmIf-HdlStmIf,,,1.0,
HdlOp-DOWNTO_HdlStmAssign-HdlOp-MemberAccessing,,,1.0,1.0
