,update,delete,insert,move
HdlIdDef-HdlModuleDec,1.0,3.0,7.0,
HdlIdDef-HdlModuleDef,4.0,2.0,17.0,
HdlStmAssign-HdlModuleDef,8.0,3.0,6.0,
HdlOp-InfixExpression_HdlStmAssign-HdlStmAssign,9.0,,5.0,6.0
HdlOp-InfixExpression_HdlStmAssign-HdlOp-InfixExpression,6.0,,8.0,
HdlOp-PrefixExpression_HdlStmAssign-HdlOp-InfixExpression,1.0,,3.0,
HdlStmIf-HdlStmProcess,1.0,1.0,,
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,1.0,,1.0,1.0
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,3.0,,2.0,
HdlStmProcess-HdlModuleDef,1.0,1.0,1.0,
HdlStmCase-HdlStmProcess,1.0,,,
HdlStmAssign-HdlStmCase,1.0,1.0,,
HdlStmAssign-HdlStmIf,8.0,1.0,6.0,5.0
HdlStmIf-HdlStmCase,4.0,,,1.0
HdlStmIf-HdlStmIf,2.0,,1.0,1.0
HdlOp-TERNARY_HdlStmAssign-HdlStmAssign,,,,1.0
