,update,insert,delete,move
HdlIdDef-HdlModuleDef,29.0,58.0,37.0,13.0
HdlStmCase-HdlStmIf,32.0,,,
HdlStmAssign-HdlStmIf,34.0,45.0,27.0,26.0
HdlOp-InfixExpression_HdlStmAssign-HdlStmAssign,28.0,7.0,5.0,5.0
HdlStmIf-HdlStmCase,80.0,10.0,9.0,7.0
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,41.0,28.0,25.0,21.0
HdlOp-InfixExpression_HdlStmAssign-HdlOp-MemberAccessing,3.0,3.0,,
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,12.0,6.0,2.0,4.0
HdlStmIf-HdlStmProcess,27.0,8.0,5.0,
HdlStmCase-HdlStmProcess,27.0,,,
HdlStmAssign-HdlModuleDef,19.0,11.0,7.0,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-PrefixExpression,2.0,,,1.0
HdlOp-PrefixExpression_HdlStmAssign-HdlStmAssign,1.0,,1.0,1.0
HdlOp-InfixExpression_HdlStmAssign-HdlOp-InfixExpression,19.0,9.0,5.0,10.0
HdlStmIf-HdlStmIf,37.0,9.0,6.0,1.0
HdlStmCase-HdlStmCase,2.0,,,
HdlStmAssign-HdlStmProcess,18.0,11.0,10.0,4.0
HdlOp-MemberAccessing_HdlStmIf-HdlOp-InfixExpression,8.0,,6.0,
HdlStmAssign-HdlStmCase,31.0,15.0,16.0,3.0
HdlOp-MemberAccessing_HdlStmIf-HdlOp-PrefixExpression,5.0,2.0,1.0,1.0
HdlOp-PrefixExpression_HdlStmIf-HdlOp-InfixExpression,7.0,3.0,4.0,
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,40.0,13.0,28.0,26.0
HdlOp-InfixExpression_HdlStmAssign-HdlOp-TERNARY,4.0,,1.0,2.0
HdlOp-DOWNTO_HdlStmAssign-HdlOp-MemberAccessing,14.0,2.0,2.0,
HdlOp-DOWNTO_HdlIdDef-HdlOp-MemberAccessing,2.0,,2.0,
HdlOp-MemberAccessing_HdlIdDef-HdlIdDef,2.0,,2.0,
HdlOp-TERNARY_HdlStmAssign-HdlStmAssign,6.0,1.0,3.0,1.0
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-InfixExpression,8.0,2.0,8.0,1.0
HdlOp-PrefixExpression_HdlStmAssign-HdlOp-InfixExpression,2.0,2.0,1.0,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-PrefixExpression,2.0,,1.0,
HdlOp-MemberAccessing_HdlStmCase-HdlStmCase,2.0,,,
HdlOp-InfixExpression_HdlIdDef-HdlOp-DOWNTO,1.0,,1.0,
HdlOp-PrefixExpression_HdlStmIf-HdlStmIf,2.0,3.0,,3.0
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-MemberAccessing,9.0,,,
HdlIdDef-HdlModuleDec,2.0,23.0,24.0,
HdlStmProcess-HdlModuleDef,,2.0,,
HdlOp-InfixExpression_HdlIdDef-HdlIdDef,,2.0,3.0,
HdlDirection-HdlIdDef,,4.0,3.0,
HdlOp-PARAMETRIZATION_HdlIdDef-HdlIdDef,,,,3.0
HdlOp-PARAMETRIZATION_HdlIdDef-HdlOp-MemberAccessing,,,,2.0
