,insert,delete,update,move
HdlIdDef-HdlModuleDef,15.0,9.0,4.0,8.0
HdlIdDef-HdlModuleDec,6.0,,2.0,
HdlOp-MemberAccessing_HdlStmIf-HdlOp-InfixExpression,1.0,,1.0,
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,8.0,2.0,19.0,4.0
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,1.0,2.0,3.0,2.0
HdlStmProcess-HdlModuleDef,11.0,3.0,5.0,1.0
HdlStmAssign-HdlStmProcess,4.0,,,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-InfixExpression,2.0,3.0,20.0,9.0
HdlOp-PrefixExpression_HdlStmAssign-HdlOp-InfixExpression,1.0,1.0,2.0,1.0
HdlStmAssign-HdlModuleDef,2.0,,24.0,1.0
HdlOp-InfixExpression_HdlStmAssign-HdlStmAssign,1.0,2.0,5.0,4.0
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-InfixExpression,7.0,,7.0,
HdlOp-DOWNTO_HdlStmAssign-HdlOp-MemberAccessing,7.0,,,
HdlStmIf-HdlStmProcess,1.0,2.0,35.0,
HdlStmCase-HdlStmProcess,1.0,,1.0,
HdlOp-MemberAccessing_HdlStmCase-HdlStmCase,1.0,,1.0,
HdlOp-Assignment_HdlStmCase-HdlStmCase,11.0,,10.0,
HdlOp-MemberAccessing_HdlStmCase-HdlOp-MemberAccessing,2.0,,2.0,
HdlOp-MemberAccessing_HdlStmCase-HdlOp-InfixExpression,1.0,,1.0,
HdlStmAssign-HdlStmCase,,10.0,10.0,
HdlStmCase-HdlStmIf,,3.0,3.0,
HdlStmIf-HdlStmIf,,2.0,2.0,
HdlStmAssign-HdlStmIf,,1.0,1.0,1.0
HdlOp-DOWNTO_HdlIdDef-HdlOp-PARAMETRIZATION,,,1.0,
HdlDirection-HdlIdDef,,,1.0,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-MemberAccessing,,,1.0,
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,,,,11.0
