,update,move,insert,delete
HdlStmIf-HdlStmProcess,10,,,
HdlStmCase-HdlStmIf,10,,,
HdlStmCase-HdlStmCase,53,,,
HdlOp-MemberAccessing_HdlStmCase-HdlStmCase,15,,,
HdlStmAssign-HdlStmCase,100,2.0,2.0,3.0
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,36,4.0,4.0,
HdlStmIf-HdlStmCase,21,1.0,1.0,
HdlOp-MemberAccessing_HdlStmIf-HdlStmIf,18,,,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-MemberAccessing,20,,,
HdlStmAssign-HdlStmIf,11,1.0,,
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,1,,,
HdlOp-InfixExpression_HdlStmAssign-HdlStmAssign,9,1.0,,
HdlOp-TERNARY_HdlStmAssign-HdlStmAssign,2,,2.0,
HdlStmCase-HdlStmProcess,3,,,
HdlOp-Assignment_HdlStmCase-HdlStmCase,5,,5.0,
HdlOp-TERNARY_HdlStmCase-HdlOp-Assignment,5,,,
