,update,insert,move,delete
HdlStmWait-HdlStmProcess,2.0,2.0,2.0,
HdlStmProcess-HdlModuleDef,5.0,2.0,,2.0
HdlIdDef-HdlModuleDef,12.0,9.0,2.0,12.0
HdlOp-PARAMETRIZATION_HdlIdDef-HdlIdDef,2.0,,1.0,5.0
HdlOp-TERNARY_HdlIdDef-HdlOp-TERNARY,8.0,,,10.0
HdlOp-MemberAccessing_HdlIdDef-HdlOp-InfixExpression,1.0,,,
HdlOp-TERNARY_HdlIdDef-HdlIdDef,1.0,,,1.0
HdlStmAssign-HdlStmProcess,10.0,10.0,2.0,1.0
HdlOp-TERNARY_HdlStmAssign-HdlStmAssign,7.0,1.0,,4.0
HdlOp-TERNARY_HdlStmAssign-HdlOp-TERNARY,22.0,4.0,3.0,1.0
HdlOp-InfixExpression_HdlStmAssign-HdlOp-TERNARY,5.0,4.0,5.0,1.0
HdlOp-DOWNTO_HdlIdDef-HdlOp-MemberAccessing,2.0,,,1.0
HdlStmFor-HdlStmProcess,1.0,,,
HdlOp-InfixExpression_HdlStmFor-HdlStmFor,1.0,,,
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,2.0,2.0,,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-TERNARY,1.0,1.0,3.0,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-InfixExpression,1.0,1.0,,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-InfixExpression,1.0,3.0,,
HdlStmAssign-HdlModuleDef,4.0,1.0,,2.0
HdlOp-InfixExpression_HdlIdDef-HdlIdDef,1.0,,,1.0
HdlStmProcess-HdlStmProcess,2.0,3.0,1.0,
HdlOp-MemberAccessing_HdlIdDef-HdlIdDef,1.0,,3.0,2.0
HdlOp-DOWNTO_HdlIdDef-HdlOp-PARAMETRIZATION,1.0,,,2.0
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-MemberAccessing,2.0,1.0,,
HdlIdDef-HdlModuleDec,,2.0,,
HdlOp-Assignment_HdlStmProcess-HdlStmProcess,,1.0,,
HdlDirection-HdlIdDef,,1.0,1.0,4.0
HdlOp-InfixExpression_HdlIdDef-HdlOp-TERNARY,,,9.0,5.0
HdlOp-MemberAccessing_HdlIdDef-HdlOp-TERNARY,,,1.0,
HdlOp-PrefixExpression_HdlStmAssign-HdlOp-TERNARY,,,2.0,
