,insert,update,move,delete
HdlIdDef-HdlModuleDef,18.0,12,9.0,3.0
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,3.0,3,,
HdlOp-InfixExpression_HdlIdDef-HdlIdDef,3.0,5,1.0,
HdlOp-InfixExpression_HdlIdDef-HdlOp-InfixExpression,6.0,2,,
HdlModuleDec-HdlModuleDef,1.0,2,,1.0
HdlStmProcess-HdlModuleDef,6.0,5,4.0,1.0
HdlIdDef-HdlModuleDec,38.0,21,2.0,1.0
HdlStmAssign-HdlModuleDef,7.0,1,,4.0
HdlStmAssign-HdlStmIf,1.0,1,,3.0
HdlStmIf-HdlStmProcess,1.0,1,,
HdlStmIf-HdlStmIf,,6,,
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,,1,,
HdlModuleDef-HdlContext,,1,1.0,
HdlStmCase-HdlStmIf,,1,,
HdlStmFor-HdlStmProcess,,1,,
HdlOp-MemberAccessing_HdlStmFor-HdlOp-Assignment,,1,,
HdlOp-RISING_HdlStmProcess-HdlStmProcess,,2,,
HdlOp-InfixExpression_HdlIdDef-HdlOp-DOWNTO,,1,,
HdlStmAssign-HdlStmProcess,,1,,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-DOWNTO,,1,,
HdlDirection-HdlIdDef,,1,,1.0
HdlOp-PARAMETRIZATION_HdlIdDef-HdlIdDef,,2,1.0,
