,update,move,delete,insert
HdlIdDef-HdlModuleDec,3.0,,,
HdlIdDef-HdlModuleDef,6.0,1.0,,1.0
HdlOp-DOWNTO_HdlIdDef-HdlOp-MemberAccessing,4.0,2.0,,
HdlOp-MemberAccessing_HdlIdDef-HdlIdDef,2.0,,2.0,
HdlOp-InfixExpression_HdlIdDef-HdlOp-DOWNTO,4.0,,,
HdlOp-DOWNTO_HdlIdDef-HdlOp-PARAMETRIZATION,5.0,2.0,,1.0
HdlOp-PARAMETRIZATION_HdlIdDef-HdlIdDef,4.0,,2.0,
HdlOp-InfixExpression_HdlIdDef-HdlIdDef,1.0,,,1.0
HdlDirection-HdlIdDef,1.0,,,
HdlFunctionDef-HdlModuleDef,1.0,,,1.0
HdlIdDef-HdlFunctionDef,1.0,,,
HdlStmFor-HdlStmProcess,1.0,,,
HdlOp-InfixExpression_HdlStmFor-HdlOp-InfixExpression,2.0,,1.0,
HdlStmAssign-HdlStmFor,7.0,,,
HdlStmIf-HdlStmFor,2.0,,1.0,1.0
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,1.0,,,1.0
HdlStmFor-HdlStmFor,2.0,,,
HdlOp-Assignment_HdlStmFor-HdlStmFor,2.0,,2.0,
HdlOp-InfixExpression_HdlStmFor-HdlOp-MemberAccessing,5.0,,3.0,
HdlOp-MemberAccessing_HdlStmFor-HdlOp-InfixExpression,4.0,,,2.0
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,2.0,,,
HdlStmIf-HdlStmIf,4.0,1.0,,
HdlOp-FunctionCall_HdlStmIf-HdlOp-FunctionCall,2.0,,,2.0
HdlOp-InfixExpression_HdlStmIf-HdlOp-MemberAccessing,6.0,,6.0,
HdlOp-FunctionCall_HdlStmIf-HdlStmIf,1.0,,,
HdlOp-PrefixExpression_HdlStmIf-HdlStmIf,,1.0,,
HdlOp-PrefixExpression_HdlStmIf-HdlOp-InfixExpression,,,,1.0
