,insert,update,move,delete
HdlIdDef-HdlModuleDef,38.0,4.0,2.0,4.0
HdlIdDef-HdlModuleDec,1.0,1.0,,
HdlStmAssign-HdlStmIf,86.0,25.0,4.0,4.0
HdlStmProcess-HdlModuleDef,3.0,2.0,,2.0
HdlStmIf-HdlStmProcess,3.0,6.0,,2.0
HdlOp-PrefixExpression_HdlIdDef-HdlIdDef,1.0,2.0,1.0,
HdlOp-PrefixExpression_HdlStmAssign-HdlStmAssign,2.0,4.0,2.0,
HdlOp-MemberAccessing_HdlStmCase-HdlStmCase,1.0,1.0,,
HdlOp-DOWNTO_HdlStmCase-HdlOp-MemberAccessing,1.0,,,
HdlOp-MemberAccessing_HdlIdDef-HdlOp-MemberAccessing,,2.0,,
HdlOp-DOWNTO_HdlIdDef-HdlOp-MemberAccessing,,1.0,,
HdlOp-TERNARY_HdlStmAssign-HdlStmAssign,,2.0,,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-TERNARY,,1.0,,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-PrefixExpression,,1.0,,
HdlModuleDef-HdlContext,,1.0,,
HdlModuleDec-HdlModuleDef,,1.0,,
HdlStmCase-HdlStmProcess,,1.0,,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-MemberAccessing,,,,1.0
