,insert,move,delete,update
HdlIdDef-HdlModuleDec,3.0,,,
HdlIdDef-HdlModuleDef,18.0,1.0,,
HdlStmAssign-HdlModuleDef,15.0,,3.0,16.0
HdlOp-InfixExpression_HdlStmAssign-HdlOp-TERNARY,4.0,2.0,,2.0
HdlOp-InfixExpression_HdlStmAssign-HdlOp-InfixExpression,1.0,1.0,,
HdlOp-TERNARY_HdlStmAssign-HdlStmAssign,6.0,10.0,1.0,17.0
HdlOp-InfixExpression_HdlStmAssign-HdlStmAssign,1.0,4.0,,1.0
HdlOp-PrefixExpression_HdlStmAssign-HdlOp-InfixExpression,2.0,,,1.0
HdlOp-TERNARY_HdlStmAssign-HdlOp-TERNARY,1.0,,1.0,2.0
HdlOp-PrefixExpression_HdlStmAssign-HdlOp-TERNARY,1.0,1.0,,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-TERNARY,2.0,,,
HdlStmAssign-HdlStmProcess,,,,11.0
