,update,insert,move,delete
HdlIdDef-HdlModuleDec,3.0,,,
HdlStmAssign-HdlModuleDef,7.0,,,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-PrefixExpression,3.0,,,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-InfixExpression,3.0,,,
HdlOp-InfixExpression_HdlStmAssign-HdlStmAssign,1.0,,,
HdlStmProcess-HdlModuleDef,1.0,1.0,,
HdlIdDef-HdlModuleDef,1.0,,,
HdlStmAssign-HdlStmIf,4.0,,,1.0
HdlStmIf-HdlStmIf,1.0,,,
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,1.0,,,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-MemberAccessing,1.0,,,
HdlStmAssign-HdlStmProcess,,1.0,1.0,
