,update,insert,move,delete
HdlIdDef-HdlModuleDef,4.0,2.0,,
HdlStmAssign-HdlModuleDef,3.0,1.0,1.0,
HdlOp-TERNARY_HdlStmAssign-HdlStmAssign,1.0,1.0,,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-TERNARY,1.0,3.0,,
HdlOp-PARAMETRIZATION_HdlIdDef-HdlIdDef,2.0,1.0,,
HdlOp-DOWNTO_HdlIdDef-HdlOp-PARAMETRIZATION,2.0,,,
HdlStmAssign-HdlStmIf,12.0,1.0,,
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,1.0,1.0,2.0,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-InfixExpression,7.0,,,7.0
HdlStmRepeat-HdlStmWhile,4.0,,,
HdlStmWhile-HdlStmIf,4.0,,,
HdlOp-Assignment_HdlStmWhile-HdlStmWhile,4.0,,,
HdlStmIf-HdlStmIf,11.0,,,
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,16.0,9.0,7.0,9.0
HdlIdDef-HdlModuleDec,1.0,1.0,,
HdlStmProcess-HdlModuleDef,1.0,1.0,,
HdlStmIf-HdlStmProcess,1.0,1.0,,
HdlStmIf-HdlModuleDef,,1.0,,
HdlOp-PrefixExpression_HdlStmIf-HdlStmIf,,1.0,,
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,,,1.0,
