,update,insert,move,delete
HdlIdDef-HdlModuleDef,2.0,5.0,,
HdlStmProcess-HdlModuleDef,2.0,2.0,,
HdlStmIf-HdlStmIf,3.0,,,
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,2.0,2.0,2.0,
HdlStmAssign-HdlStmCase,1.0,,,
HdlModuleDec-HdlModuleDef,2.0,1.0,,1.0
HdlStmAssign-HdlModuleDef,4.0,,,
HdlOp-InfixExpression_HdlStmAssign-HdlStmAssign,5.0,1.0,1.0,
HdlOp-DOWNTO_HdlIdDef-HdlOp-PARAMETRIZATION,1.0,,,
HdlStmIf-HdlStmCase,1.0,,,
HdlOp-Assignment_HdlStmIf-HdlStmIf,1.0,,,1.0
HdlStmAssign-HdlStmIf,4.0,1.0,,
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,1.0,,,1.0
HdlOp-InfixExpression_HdlStmAssign-HdlOp-InfixExpression,2.0,1.0,,
HdlStmCase-HdlStmIf,1.0,,,
HdlStmIf-HdlStmProcess,2.0,1.0,,
HdlOp-MemberAccessing_HdlStmIf-HdlOp-InfixExpression,1.0,1.0,,
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,,2.0,,
HdlOp-PrefixExpression_HdlStmAssign-HdlOp-InfixExpression,,1.0,,
HdlIdDef-HdlStmProcess,,,,1.0
