,update,delete,move,insert
HdlStmCase-HdlStmIf,4.0,,,
HdlIdDef-HdlModuleDec,9.0,,3.0,12.0
HdlStmProcess-HdlModuleDef,2.0,1.0,,4.0
HdlOp-RISING_HdlStmProcess-HdlStmProcess,1.0,,,
HdlStmIf-HdlStmIf,6.0,,,1.0
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,2.0,,,2.0
HdlStmIf-HdlStmCase,8.0,,,1.0
HdlStmIf-HdlStmProcess,6.0,,,1.0
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,2.0,,,4.0
HdlStmAssign-HdlModuleDef,4.0,1.0,1.0,1.0
HdlStmAssign-HdlStmIf,21.0,2.0,4.0,6.0
HdlOp-InfixExpression_HdlStmAssign-HdlStmAssign,3.0,,3.0,2.0
HdlDirection-HdlIdDef,1.0,,,
HdlStmAssign-HdlStmCase,1.0,,2.0,
HdlOp-Assignment_HdlStmIf-HdlStmIf,1.0,1.0,,
HdlOp-MemberAccessing_HdlStmIf-HdlOp-FunctionCall,2.0,,,
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,2.0,,,
HdlOp-PrefixExpression_HdlStmAssign-HdlStmAssign,1.0,,,1.0
HdlIdDef-HdlModuleDef,4.0,,1.0,10.0
HdlOp-PARAMETRIZATION_HdlIdDef-HdlIdDef,1.0,,,
HdlStmCase-HdlStmProcess,1.0,,,
HdlOp-Assignment_HdlStmCase-HdlStmCase,4.0,,,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-TERNARY,1.0,,,1.0
HdlOp-DOWNTO_HdlIdDef-HdlOp-PARAMETRIZATION,2.0,,,
HdlOp-FunctionCall_HdlStmCase-HdlStmCase,,2.0,,
HdlOp-FunctionCall_HdlStmIf-HdlStmIf,,1.0,,
HdlOp-InfixExpression_HdlStmIf-HdlOp-Assignment,,,1.0,
HdlOp-PrefixExpression_HdlStmAssign-HdlOp-TERNARY,,,1.0,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-InfixExpression,,,,1.0
