,update,delete,move,insert
HdlStmProcess-HdlModuleDef,18.0,2.0,1.0,8.0
HdlStmIf-HdlStmProcess,23.0,1.0,1.0,3.0
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,7.0,1.0,3.0,1.0
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,6.0,5.0,2.0,1.0
HdlOp-MemberAccessing_HdlStmIf-HdlOp-InfixExpression,2.0,1.0,,
HdlOp-PrefixExpression_HdlStmIf-HdlOp-InfixExpression,4.0,1.0,,
HdlStmCase-HdlStmIf,4.0,3.0,1.0,
HdlStmAssign-HdlStmCase,7.0,,5.0,
HdlStmIf-HdlStmIf,10.0,,,2.0
HdlOp-MemberAccessing_HdlStmIf-HdlStmIf,5.0,,,5.0
HdlStmAssign-HdlStmIf,18.0,1.0,,
HdlStmAssign-HdlModuleDef,12.0,5.0,,3.0
HdlOp-InfixExpression_HdlStmAssign-HdlOp-InfixExpression,6.0,6.0,3.0,
HdlOp-InfixExpression_HdlStmAssign-HdlStmAssign,6.0,3.0,1.0,
HdlStmAssign-HdlStmProcess,4.0,1.0,1.0,1.0
HdlOp-PrefixExpression_HdlStmAssign-HdlOp-InfixExpression,4.0,1.0,,
HdlStmCase-HdlStmProcess,8.0,,,
HdlOp-Assignment_HdlStmCase-HdlStmCase,12.0,7.0,,7.0
HdlOp-PrefixExpression_HdlStmCase-HdlOp-Assignment,1.0,,1.0,
HdlOp-InfixExpression_HdlStmCase-HdlOp-InfixExpression,4.0,,1.0,3.0
HdlOp-PrefixExpression_HdlStmCase-HdlOp-InfixExpression,1.0,,,
HdlOp-InfixExpression_HdlStmCase-HdlOp-Assignment,5.0,1.0,,2.0
HdlStmIf-HdlStmCase,13.0,1.0,,5.0
HdlOp-Assignment_HdlStmIf-HdlStmIf,12.0,1.0,7.0,2.0
HdlOp-PrefixExpression_HdlStmIf-HdlOp-Assignment,2.0,1.0,,
HdlOp-InfixExpression_HdlStmIf-HdlOp-Assignment,1.0,,,1.0
HdlOp-RISING_HdlStmProcess-HdlStmProcess,1.0,2.0,,
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,4.0,3.0,1.0,1.0
HdlOp-MemberAccessing_HdlStmIf-HdlOp-MemberAccessing,2.0,,,
HdlOp-PrefixExpression_HdlStmIf-HdlStmIf,1.0,,,2.0
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-InfixExpression,2.0,3.0,10.0,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-MemberAccessing,5.0,,,
HdlIdDef-HdlModuleDec,1.0,,1.0,1.0
HdlOp-InfixExpression_HdlStmAssign-HdlOp-TERNARY,2.0,,2.0,
HdlOp-MemberAccessing_HdlStmIf-HdlOp-PrefixExpression,1.0,,,
HdlOp-TERNARY_HdlStmAssign-HdlStmAssign,1.0,,,
HdlIdDef-HdlModuleDef,,4.0,2.0,4.0
HdlOp-DOWNTO_HdlStmIf-HdlOp-MemberAccessing,,1.0,,
HdlOp-Assignment_HdlStmProcess-HdlStmProcess,,5.0,,7.0
HdlOp-TERNARY_HdlStmIf-HdlStmIf,,,1.0,
