,update,insert,move,delete
HdlStmCase-HdlStmProcess,18.0,,,
HdlOp-Assignment_HdlStmCase-HdlStmCase,18.0,12.0,9.0,8.0
HdlOp-InfixExpression_HdlStmCase-HdlOp-TERNARY,6.0,2.0,2.0,
HdlOp-TERNARY_HdlStmCase-HdlOp-Assignment,8.0,,2.0,4.0
HdlStmProcess-HdlModuleDef,6.0,,,
HdlStmCase-HdlStmCase,20.0,,,
HdlOp-PrefixExpression_HdlStmCase-HdlOp-Assignment,4.0,2.0,,
HdlOp-InfixExpression_HdlStmCase-HdlOp-PrefixExpression,10.0,,,
HdlOp-MemberAccessing_HdlStmCase-HdlOp-TERNARY,4.0,6.0,,
HdlOp-MemberAccessing_HdlStmCase-HdlOp-MemberAccessing,2.0,2.0,,
HdlOp-InfixExpression_HdlStmCase-HdlOp-Assignment,6.0,,3.0,
HdlOp-MemberAccessing_HdlStmCase-HdlOp-Assignment,3.0,3.0,8.0,
HdlIdDef-HdlModuleDef,8.0,3.0,,3.0
HdlOp-InfixExpression_HdlIdDef-HdlIdDef,5.0,3.0,2.0,2.0
HdlOp-InfixExpression_HdlIdDef-HdlOp-InfixExpression,4.0,2.0,1.0,4.0
HdlOp-MemberAccessing_HdlStmCase-HdlOp-InfixExpression,3.0,2.0,4.0,1.0
HdlOp-InfixExpression_HdlStmCase-HdlOp-InfixExpression,6.0,8.0,2.0,
HdlOp-PrefixExpression_HdlStmCase-HdlOp-InfixExpression,5.0,,2.0,1.0
HdlStmIf-HdlStmCase,4.0,2.0,,
HdlOp-InfixExpression_HdlStmIf-HdlOp-Assignment,1.0,,1.0,
HdlOp-MemberAccessing_HdlStmIf-HdlOp-InfixExpression,3.0,4.0,,1.0
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,2.0,,,
HdlOp-PrefixExpression_HdlStmIf-HdlOp-InfixExpression,1.0,,,1.0
HdlOp-PrefixExpression_HdlStmIf-HdlOp-Assignment,1.0,,,
HdlOp-Assignment_HdlStmIf-HdlStmIf,3.0,2.0,,1.0
HdlOp-TERNARY_HdlStmIf-HdlOp-Assignment,4.0,2.0,,
HdlOp-InfixExpression_HdlStmIf-HdlOp-TERNARY,2.0,2.0,,
HdlOp-MemberAccessing_HdlStmIf-HdlOp-Assignment,2.0,,,
HdlOp-TERNARY_HdlStmCase-HdlOp-InfixExpression,,2.0,,
HdlStmAssign-HdlStmIf,,2.0,,1.0
HdlDirection-HdlIdDef,,1.0,,2.0
HdlOp-DOWNTO_HdlStmCase-HdlOp-MemberAccessing,,2.0,,
HdlOp-PrefixExpression_HdlStmCase-HdlOp-TERNARY,,,2.0,
HdlOp-MemberAccessing_HdlStmProcess-HdlStmProcess,,,18.0,
HdlOp-PrefixExpression_HdlIdDef-HdlOp-InfixExpression,,,1.0,1.0
HdlOp-MemberAccessing_HdlIdDef-HdlOp-InfixExpression,,,2.0,
HdlIdDef-HdlModuleDec,,,,1.0
HdlStmAssign-HdlModuleDef,,,,1.0
