,update,delete,insert,move
HdlStmIf-HdlStmIf,1.0,,,
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,1.0,,,
HdlOp-MemberAccessing_HdlStmIf-HdlOp-MemberAccessing,1.0,1.0,,
HdlStmAssign-HdlStmIf,1.0,,,
HdlOp-InfixExpression_HdlStmAssign-HdlStmAssign,1.0,,,
HdlStmCase-HdlStmProcess,4.0,,,
HdlOp-Assignment_HdlStmCase-HdlStmCase,15.0,,6.0,6.0
HdlStmCase-HdlStmCase,2.0,,,
HdlOp-InfixExpression_HdlStmCase-HdlOp-Assignment,6.0,,6.0,
HdlOp-PrefixExpression_HdlStmCase-HdlOp-InfixExpression,6.0,,6.0,
HdlOp-TERNARY_HdlStmCase-HdlOp-Assignment,12.0,,,
HdlOp-InfixExpression_HdlStmCase-HdlOp-TERNARY,24.0,,,6.0
HdlOp-DOWNTO_HdlStmIf-HdlOp-MemberAccessing,,1.0,,
HdlOp-MemberAccessing_HdlStmCase-HdlOp-InfixExpression,,,6.0,
HdlOp-MemberAccessing_HdlStmCase-HdlOp-Assignment,,,,6.0
