,update,insert,delete,move
HdlIdDef-HdlModuleDef,156.0,86.0,40.0,1.0
HdlOp-InfixExpression_HdlIdDef-HdlOp-DOWNTO,41.0,43.0,,
HdlOp-MemberAccessing_HdlIdDef-HdlOp-InfixExpression,79.0,37.0,,
HdlStmCase-HdlStmProcess,15.0,4.0,7.0,
HdlStmIf-HdlStmProcess,217.0,3.0,16.0,
HdlStmProcess-HdlModuleDef,227.0,9.0,24.0,
HdlOp-RISING_HdlStmProcess-HdlStmProcess,243.0,,2.0,8.0
HdlModuleDec-HdlModuleDef,10.0,4.0,4.0,
HdlIdDef-HdlModuleDec,93.0,26.0,4.0,
HdlOp-InfixExpression_HdlIdDef-HdlIdDef,65.0,18.0,,6.0
HdlStmAssign-HdlStmIf,35.0,1.0,12.0,2.0
HdlOp-PARAMETRIZATION_HdlIdDef-HdlIdDef,17.0,5.0,1.0,10.0
HdlOp-DOWNTO_HdlIdDef-HdlOp-PARAMETRIZATION,28.0,16.0,4.0,
HdlOp-InfixExpression_HdlIdDef-HdlOp-InfixExpression,126.0,71.0,,5.0
HdlOp-InfixExpression_HdlIdDef-HdlOp-MemberAccessing,103.0,34.0,76.0,
HdlOp-MemberAccessing_HdlIdDef-HdlIdDef,1.0,4.0,,
HdlOp-MemberAccessing_HdlIdDef-HdlOp-MemberAccessing,4.0,1.0,,
HdlOp-DOWNTO_HdlIdDef-HdlOp-MemberAccessing,3.0,,,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-MemberAccessing,11.0,,3.0,4.0
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,11.0,,7.0,3.0
HdlStmAssign-HdlModuleDef,8.0,7.0,1.0,
HdlOp-Assignment_HdlStmCase-HdlStmCase,19.0,4.0,5.0,9.0
HdlOp-InfixExpression_HdlStmCase-HdlStmCase,9.0,,3.0,3.0
HdlOp-MemberAccessing_HdlStmCase-HdlOp-Assignment,3.0,,,
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,36.0,2.0,,2.0
HdlOp-InfixExpression_HdlIdDef-HdlOp-TERNARY,33.0,,,8.0
HdlOp-TERNARY_HdlIdDef-HdlOp-TERNARY,8.0,8.0,8.0,
HdlOp-TERNARY_HdlIdDef-HdlIdDef,8.0,4.0,4.0,
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,24.0,1.0,,2.0
HdlOp-TERNARY_HdlStmCase-HdlOp-Assignment,11.0,,1.0,1.0
HdlOp-InfixExpression_HdlStmAssign-HdlStmAssign,3.0,2.0,1.0,
HdlOp-PrefixExpression_HdlStmAssign-HdlOp-InfixExpression,1.0,1.0,,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-InfixExpression,2.0,1.0,,2.0
HdlOp-TERNARY_HdlStmAssign-HdlStmAssign,1.0,1.0,,
HdlOp-MemberAccessing_HdlIdDef-HdlOp-PrefixExpression,1.0,,,
HdlOp-PrefixExpression_HdlIdDef-HdlOp-InfixExpression,1.0,,,
HdlOp-PrefixExpression_HdlStmCase-HdlOp-InfixExpression,2.0,,,
HdlOp-InfixExpression_HdlStmCase-HdlOp-InfixExpression,1.0,,,
HdlOp-InfixExpression_HdlStmCase-HdlOp-TERNARY,1.0,,,
HdlDirection-HdlIdDef,,26.0,8.0,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-TERNARY,,1.0,,
HdlOp-PrefixExpression_HdlStmIf-HdlStmIf,,1.0,,
