,insert,update,move,delete
HdlIdDef-HdlModuleDef,3.0,8.0,,1.0
HdlStmIf-HdlStmProcess,1.0,27.0,,
HdlOp-PrefixExpression_HdlStmIf-HdlStmIf,2.0,,,
HdlStmIf-HdlStmIf,1.0,,,
HdlStmAssign-HdlStmIf,2.0,10.0,,
HdlIdDef-HdlModuleDec,7.0,1.0,,
HdlOp-Assignment_HdlStmProcess-HdlStmProcess,6.0,,,
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,1.0,1.0,4.0,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-InfixExpression,2.0,5.0,,
HdlOp-InfixExpression_HdlIdDef-HdlOp-InfixExpression,4.0,6.0,1.0,2.0
HdlOp-TERNARY_HdlStmAssign-HdlStmAssign,2.0,2.0,1.0,
HdlOp-InfixExpression_HdlIdDef-HdlIdDef,2.0,3.0,1.0,1.0
HdlDirection-HdlIdDef,1.0,,,1.0
HdlOp-InfixExpression_HdlStmAssign-HdlStmAssign,1.0,3.0,,
HdlStmProcess-HdlModuleDef,1.0,5.0,,
HdlStmIf-HdlStmCase,3.0,6.0,,
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,1.0,1.0,,
HdlOp-MemberAccessing_HdlStmIf-HdlStmIf,1.0,,,
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,2.0,1.0,1.0,
HdlStmAssign-HdlModuleDef,,9.0,,
HdlStmCase-HdlStmIf,,18.0,,
HdlStmAssign-HdlStmCase,,7.0,2.0,
HdlStmCase-HdlStmCase,,4.0,,
HdlOp-MemberAccessing_HdlIdDef-HdlOp-InfixExpression,,,,1.0
