,update,insert,delete,move
HdlIdDef-HdlFunctionDef,1.0,,,
HdlFunctionDef-HdlModuleDef,2.0,,,
HdlStmWhile-HdlFunctionDef,1.0,,,
HdlOp-InfixExpression_HdlStmWhile-HdlStmWhile,2.0,,,
HdlStmProcess-HdlStmWhile,1.0,1.0,,
HdlStmIf-HdlStmWhile,1.0,1.0,,
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,3.0,2.0,,1.0
HdlStmIf-HdlStmIf,2.0,,1.0,
HdlOp-Assignment_HdlStmIf-HdlStmIf,3.0,,1.0,1.0
HdlStmWait-HdlStmProcess,3.0,1.0,,
HdlOp-InfixExpression_HdlStmWait-HdlStmWait,1.0,,,
HdlStmIf-HdlFunctionDef,3.0,,,2.0
HdlStmCase-HdlStmProcess,1.0,,,
HdlOp-Assignment_HdlFunctionDef-HdlFunctionDef,,1.0,1.0,
HdlStmNop-HdlStmProcess,,1.0,,
HdlStmAssign-HdlStmIf,,1.0,,
HdlOp-Assignment_HdlStmCase-HdlStmCase,,1.0,,
HdlOp-PrefixExpression_HdlStmIf-HdlStmIf,,,1.0,
HdlStmNop-HdlStmIf,,,1.0,
