,insert,update,move,delete
HdlIdDef-HdlModuleDec,2.0,,,
HdlIdDef-HdlModuleDef,2.0,8.0,,1.0
HdlOp-InfixExpression_HdlIdDef-HdlIdDef,2.0,2.0,1.0,
HdlOp-InfixExpression_HdlIdDef-HdlOp-InfixExpression,20.0,9.0,,
HdlOp-MemberAccessing_HdlIdDef-HdlIdDef,2.0,2.0,,
HdlOp-DOWNTO_HdlIdDef-HdlOp-MemberAccessing,2.0,,,
HdlStmAssign-HdlStmIf,5.0,1.0,,6.0
HdlStmNop-HdlStmCase,2.0,,,2.0
HdlStmAssign-HdlModuleDef,3.0,2.0,,3.0
HdlStmProcess-HdlModuleDef,1.0,1.0,,1.0
HdlOp-FunctionCall_HdlStmCase-HdlStmCase,2.0,1.0,,
HdlOp-MemberAccessing_HdlStmCase-HdlOp-FunctionCall,1.0,1.0,,
HdlOp-DOWNTO_HdlStmCase-HdlOp-MemberAccessing,1.0,1.0,,
HdlOp-FunctionCall_HdlStmIf-HdlStmIf,1.0,,,
HdlStmCase-HdlStmProcess,,2.0,,
HdlStmCase-HdlStmCase,,2.0,,
HdlOp-Assignment_HdlStmCase-HdlStmCase,,2.0,,
HdlStmIf-HdlStmProcess,,5.0,,1.0
HdlStmCase-HdlStmIf,,13.0,,1.0
HdlStmIf-HdlStmCase,,8.0,,
HdlOp-MemberAccessing_HdlStmCase-HdlOp-MemberAccessing,,23.0,,
HdlStmIf-HdlStmIf,,2.0,,
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,,1.0,,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-MemberAccessing,,5.0,2.0,
HdlStmAssign-HdlStmCase,,1.0,,1.0
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,,1.0,,1.0
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-TERNARY,,1.0,,1.0
HdlOp-InfixExpression_HdlStmAssign-HdlOp-TERNARY,,2.0,1.0,
HdlOp-TERNARY_HdlStmAssign-HdlStmAssign,,1.0,,1.0
HdlOp-PARAMETRIZATION_HdlIdDef-HdlIdDef,,,2.0,
HdlOp-MemberAccessing_HdlStmCase-HdlStmCase,,,1.0,
HdlOp-PrefixExpression_HdlStmIf-HdlOp-InfixExpression,,,,1.0
HdlOp-InfixExpression_HdlStmAssign-HdlOp-MemberAccessing,,,,2.0
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,,,,1.0
