,update,insert,move,delete
HdlStmIf-HdlStmIf,17.0,1.0,1.0,8.0
HdlStmAssign-HdlModuleDef,6.0,1.0,,3.0
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,2.0,1.0,1.0,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-MemberAccessing,14.0,2.0,,
HdlOp-Assignment_HdlStmIf-HdlStmIf,6.0,9.0,,6.0
HdlStmAssign-HdlStmIf,4.0,10.0,,
HdlStmAssign-HdlStmCase,2.0,2.0,,
HdlStmCase-HdlStmIf,2.0,,,
HdlOp-Assignment_HdlStmCase-HdlStmCase,7.0,2.0,,6.0
HdlIdDef-HdlModuleDef,2.0,,,6.0
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,2.0,1.0,4.0,6.0
HdlOp-PrefixExpression_HdlStmIf-HdlOp-Assignment,2.0,,1.0,
HdlOp-InfixExpression_HdlStmCase-HdlOp-Assignment,1.0,1.0,3.0,
HdlOp-DOWNTO_HdlStmCase-HdlOp-MemberAccessing,,1.0,,
HdlOp-FunctionCall_HdlStmIf-HdlStmIf,,,5.0,5.0
