,update,insert,delete,move
HdlStmIf-HdlStmProcess,2.0,,,
HdlOp-Assignment_HdlStmIf-HdlStmIf,2.0,,,
HdlOp-InfixExpression_HdlStmIf-HdlOp-Assignment,3.0,,,
HdlIdDef-HdlModuleDef,3.0,4.0,4.0,
HdlOp-DOWNTO_HdlIdDef-HdlOp-PARAMETRIZATION,1.0,,,
HdlOp-InfixExpression_HdlIdDef-HdlOp-DOWNTO,2.0,,,
HdlStmAssign-HdlModuleDef,2.0,,,2.0
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-TERNARY,4.0,,,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-MemberAccessing,4.0,,,
HdlStmProcess-HdlModuleDef,1.0,1.0,,
HdlIdDef-HdlModuleDec,,,,1.0
