,update,insert,delete,move
HdlModuleDef-HdlContext,4.0,,,
HdlModuleDec-HdlModuleDef,8.0,,,
HdlStmIf-HdlStmIf,1.0,,1.0,
HdlStmIf-HdlModuleDef,3.0,1.0,,
HdlIdDef-HdlModuleDef,4.0,4.0,4.0,
HdlOp-PARAMETRIZATION_HdlIdDef-HdlIdDef,4.0,,,2.0
HdlStmAssign-HdlStmProcess,6.0,1.0,4.0,2.0
HdlOp-PrefixExpression_HdlStmAssign-HdlOp-InfixExpression,2.0,,2.0,
HdlOp-InfixExpression_HdlStmAssign-HdlStmAssign,3.0,1.0,2.0,
HdlStmAssign-HdlModuleDef,1.0,1.0,,
HdlStmProcess-HdlModuleDef,1.0,,1.0,
HdlStmIf-HdlStmProcess,1.0,2.0,,
HdlStmAssign-HdlStmIf,6.0,6.0,24.0,
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,2.0,1.0,2.0,2.0
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,2.0,4.0,,3.0
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,1.0,1.0,,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-MemberAccessing,1.0,1.0,,
HdlIdDef-HdlModuleDec,,248.0,,
HdlStmWhile-HdlFunctionDef,,1.0,,
HdlStmProcess-HdlFunctionDef,,1.0,,
HdlStmFor-HdlFunctionDef,,1.0,,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-InfixExpression,,1.0,,
HdlOp-RISING_HdlStmProcess-HdlStmProcess,,1.0,,
HdlDirection-HdlIdDef,,,2.0,
HdlOp-FunctionCall_HdlStmIf-HdlStmIf,,,,1.0
