,update,insert,move,delete
HdlIdDef-HdlModuleDec,9.0,8.0,,
HdlOp-InfixExpression_HdlIdDef-HdlOp-DOWNTO,3.0,3.0,,
HdlOp-DOWNTO_HdlIdDef-HdlOp-PARAMETRIZATION,6.0,,,
HdlStmProcess-HdlModuleDef,4.0,,,
HdlStmCase-HdlStmProcess,1.0,,,
HdlOp-Assignment_HdlStmCase-HdlStmCase,1.0,1.0,,
HdlStmIf-HdlStmCase,3.0,1.0,,1.0
HdlStmIf-HdlStmIf,4.0,,,1.0
HdlOp-Assignment_HdlStmIf-HdlStmIf,3.0,,3.0,1.0
HdlIdDef-HdlModuleDef,2.0,4.0,,2.0
HdlStmIf-HdlStmProcess,2.0,1.0,,
HdlOp-InfixExpression_HdlStmIf-HdlOp-DOWNTO,1.0,,,
HdlOp-MemberAccessing_HdlStmIf-HdlOp-PrefixExpression,1.0,,,
HdlStmFor-HdlStmProcess,1.0,,,
HdlOp-InfixExpression_HdlStmFor-HdlStmFor,1.0,,,
HdlOp-InfixExpression_HdlStmFor-HdlOp-Assignment,1.0,,,
HdlStmIf-HdlStmFor,1.0,,,
HdlOp-PrefixExpression_HdlStmIf-HdlOp-InfixExpression,1.0,1.0,1.0,
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,2.0,,1.0,1.0
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,1.0,,4.0,1.0
HdlOp-Assignment_HdlStmProcess-HdlStmProcess,3.0,3.0,1.0,
HdlOp-InfixExpression_HdlStmProcess-HdlOp-InfixExpression,1.0,2.0,,
HdlStmFor-HdlModuleDef,,1.0,,
HdlOp-PrefixExpression_HdlStmIf-HdlStmIf,,1.0,,
HdlStmAssign-HdlModuleDef,,1.0,,
HdlStmCase-HdlStmFor,,2.0,,
HdlIdDef-HdlStmIf,,,5.0,
HdlOp-Assignment_HdlStmFor-HdlStmFor,,,1.0,
