,update,insert,move,delete
HdlStmIf-HdlStmProcess,15.0,2.0,1.0,1.0
HdlStmProcess-HdlModuleDef,4.0,1.0,,1.0
HdlStmCase-HdlStmIf,10.0,1.0,,1.0
HdlStmIf-HdlStmCase,2.0,,,
HdlStmAssign-HdlStmCase,1.0,,,
HdlStmCase-HdlStmProcess,2.0,,,
HdlStmAssign-HdlModuleDef,11.0,7.0,,5.0
HdlOp-TERNARY_HdlStmAssign-HdlStmAssign,9.0,4.0,2.0,1.0
HdlOp-InfixExpression_HdlStmAssign-HdlOp-InfixExpression,4.0,4.0,,
HdlOp-TERNARY_HdlStmAssign-HdlOp-TERNARY,4.0,2.0,,1.0
HdlOp-MemberAccessing_HdlStmCase-HdlStmCase,1.0,1.0,,
HdlStmIf-HdlStmIf,1.0,1.0,2.0,1.0
HdlOp-MemberAccessing_HdlStmCase-HdlOp-MemberAccessing,4.0,,3.0,
HdlOp-MemberAccessing_HdlStmCase-HdlOp-Assignment,2.0,,1.0,3.0
HdlOp-Assignment_HdlStmCase-HdlStmCase,2.0,,1.0,2.0
HdlOp-Assignment_HdlStmIf-HdlStmIf,1.0,1.0,3.0,
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,4.0,4.0,2.0,1.0
HdlOp-InfixExpression_HdlStmAssign-HdlOp-TERNARY,1.0,2.0,2.0,2.0
HdlIdDef-HdlModuleDef,,3.0,,
HdlIdDef-HdlModuleDec,,2.0,,
HdlOp-MemberAccessing_HdlStmIf-HdlOp-Assignment,,1.0,,
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,,1.0,,
