,update,insert,move,delete
HdlStmAssign-HdlStmIf,5.0,,,
HdlStmAssign-HdlModuleDef,4.0,,,
HdlOp-InfixExpression_HdlStmAssign-HdlStmAssign,2.0,1.0,,
HdlStmProcess-HdlModuleDef,3.0,,,
HdlOp-FALLING_HdlStmProcess-HdlStmProcess,1.0,1.0,,
HdlOp-PrefixExpression_HdlStmAssign-HdlStmAssign,1.0,,,
HdlIdDef-HdlModuleDef,2.0,,,
HdlOp-DOWNTO_HdlIdDef-HdlOp-MemberAccessing,1.0,,,
HdlOp-InfixExpression_HdlIdDef-HdlOp-DOWNTO,1.0,1.0,,
HdlStmIf-HdlStmProcess,4.0,,,
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,2.0,2.0,2.0,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-MemberAccessing,4.0,,,4.0
HdlStmFor-HdlFunctionDef,1.0,,,
HdlOp-InfixExpression_HdlStmFor-HdlStmFor,1.0,,,
HdlOp-InfixExpression_HdlStmFor-HdlOp-FunctionCall,1.0,,,1.0
HdlStmAssign-HdlStmFor,2.0,,,
HdlStmIf-HdlStmIf,2.0,,,
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,,,,2.0
