,update,insert,move,delete
HdlStmCase-HdlStmIf,30.0,,,
HdlStmCase-HdlStmProcess,33.0,,,
HdlStmProcess-HdlModuleDef,14.0,,,1.0
HdlOp-Assignment_HdlStmProcess-HdlStmProcess,10.0,23.0,5.0,9.0
HdlStmIf-HdlStmProcess,16.0,,,
HdlOp-MemberAccessing_HdlStmCase-HdlOp-Assignment,5.0,,,
HdlOp-InfixExpression_HdlStmCase-HdlOp-Assignment,20.0,,,
HdlStmIf-HdlStmCase,24.0,,,
HdlIdDef-HdlModuleDef,3.0,2.0,1.0,1.0
HdlStmIf-HdlStmIf,41.0,,,
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,2.0,1.0,,
HdlIdDef-HdlModuleDec,1.0,4.0,,
HdlOp-FALLING_HdlStmProcess-HdlStmProcess,1.0,,,
HdlOp-PrefixExpression_HdlStmIf-HdlStmIf,1.0,,,
HdlOp-PrefixExpression_HdlStmIf-HdlOp-Assignment,8.0,,,
HdlOp-MemberAccessing_HdlStmIf-HdlOp-PrefixExpression,8.0,8.0,,
HdlOp-Assignment_HdlStmCase-HdlStmCase,132.0,1.0,13.0,30.0
HdlOp-FunctionCall_HdlStmCase-HdlStmCase,1.0,32.0,,119.0
HdlOp-InfixExpression_HdlStmCase-HdlOp-InfixExpression,16.0,,,
HdlOp-MemberAccessing_HdlStmIf-HdlOp-InfixExpression,64.0,,,
HdlOp-Assignment_HdlStmIf-HdlStmIf,40.0,,8.0,8.0
HdlOp-MemberAccessing_HdlStmProcess-HdlOp-Assignment,,8.0,,
HdlOp-MemberAccessing_HdlStmCase-HdlOp-FunctionCall,,,3.0,
HdlModuleDef-HdlContext,,,,1.0
HdlOp-FunctionCall_HdlStmIf-HdlStmIf,,,,1.0
