,insert,update,delete,move
HdlIdDef-HdlModuleDec,1.0,,,
HdlStmProcess-HdlModuleDef,2.0,4.0,2.0,
HdlOp-RISING_HdlStmProcess-HdlStmProcess,1.0,,2.0,1.0
HdlIdDef-HdlModuleDef,1.0,1.0,2.0,
HdlStmAssign-HdlModuleDef,1.0,2.0,1.0,
HdlStmAssign-HdlStmIf,1.0,,1.0,
HdlOp-InfixExpression_HdlIdDef-HdlOp-InfixExpression,,2.0,2.0,
HdlOp-PrefixExpression_HdlIdDef-HdlOp-InfixExpression,,1.0,1.0,
HdlOp-InfixExpression_HdlIdDef-HdlIdDef,,1.0,1.0,
HdlStmIf-HdlStmProcess,,4.0,1.0,
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,,1.0,,1.0
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,,4.0,3.0,1.0
HdlDirection-HdlIdDef,,,1.0,
HdlOp-TERNARY_HdlStmAssign-HdlStmAssign,,,1.0,
HdlOp-PrefixExpression_HdlStmIf-HdlOp-InfixExpression,,,1.0,
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,,,,1.0
