,insert,update,delete,move
HdlIdDef-HdlModuleDef,14.0,,8.0,
HdlOp-FALLING_HdlStmProcess-HdlStmProcess,4.0,,,
HdlOp-InfixExpression_HdlStmAssign-HdlStmAssign,1.0,1.0,,
HdlOp-PrefixExpression_HdlStmAssign-HdlOp-InfixExpression,2.0,,,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-InfixExpression,1.0,1.0,,
HdlFunctionDef-HdlModuleDef,2.0,8.0,1.0,
HdlStmIf-HdlFunctionDef,1.0,2.0,1.0,
HdlStmCase-HdlStmIf,1.0,5.0,1.0,
HdlStmNop-HdlStmCase,1.0,,,
HdlStmProcess-HdlModuleDef,1.0,7.0,,
HdlOp-PrefixExpression_HdlStmIf-HdlOp-InfixExpression,1.0,4.0,2.0,1.0
HdlOp-Assignment_HdlStmProcess-HdlStmProcess,2.0,,,
HdlOp-FunctionCall_HdlStmCase-HdlStmCase,2.0,1.0,,
HdlOp-MemberAccessing_HdlStmIf-HdlOp-PrefixExpression,1.0,,,
HdlIdDef-HdlModuleDec,3.0,11.0,3.0,
HdlStmAssign-HdlStmCase,1.0,,,
HdlOp-MemberAccessing_HdlFunctionDef-HdlOp-InfixExpression,3.0,3.0,,
HdlOp-InfixExpression_HdlIdDef-HdlOp-DOWNTO,3.0,3.0,,
HdlOp-InfixExpression_HdlStmProcess-HdlOp-DOWNTO,1.0,1.0,,
HdlOp-InfixExpression_HdlStmIf-HdlOp-DOWNTO,4.0,4.0,,
HdlOp-MemberAccessing_HdlStmIf-HdlOp-Assignment,2.0,2.0,,
HdlOp-DOWNTO_HdlStmIf-HdlOp-MemberAccessing,2.0,4.0,,
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,1.0,3.0,,
HdlStmIf-HdlStmIf,,19.0,,
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,,16.0,3.0,
HdlOp-PrefixExpression_HdlStmIf-HdlStmIf,,1.0,,
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,,2.0,,1.0
HdlOp-DOWNTO_HdlIdDef-HdlOp-PARAMETRIZATION,,4.0,,
HdlStmIf-HdlStmProcess,,10.0,,
HdlStmAssign-HdlStmIf,,20.0,,
HdlIdDef-HdlFunctionDef,,1.0,,
HdlStmCase-HdlStmProcess,,4.0,,
HdlStmCase-HdlStmCase,,15.0,,
HdlOp-Assignment_HdlStmCase-HdlStmCase,,7.0,,
HdlOp-InfixExpression_HdlStmCase-HdlOp-Assignment,,1.0,,
HdlStmIf-HdlStmCase,,1.0,,
HdlOp-Assignment_HdlStmIf-HdlStmIf,,5.0,,
HdlStmCase-HdlFunctionDef,,1.0,,
HdlStmAssign-HdlModuleDef,,1.0,2.0,
HdlOp-TERNARY_HdlStmAssign-HdlStmAssign,,1.0,1.0,
HdlOp-InfixExpression_HdlFunctionDef-HdlOp-Assignment,,3.0,,
HdlOp-DOWNTO_HdlStmProcess-HdlOp-MemberAccessing,,1.0,,
HdlStmFor-HdlModuleDef,,,1.0,
HdlOp-MemberAccessing_HdlStmCase-HdlStmCase,,,,2.0
HdlOp-MemberAccessing_HdlStmIf-HdlOp-InfixExpression,,,,1.0
HdlOp-PrefixExpression_HdlStmAssign-HdlOp-TERNARY,,,,1.0
