,update,insert,move,delete
HdlIdDef-HdlModuleDec,3.0,2.0,1.0,
HdlStmAssign-HdlStmIf,20.0,4.0,6.0,4.0
HdlStmCase-HdlStmIf,14.0,3.0,,
HdlStmAssign-HdlStmCase,11.0,4.0,,2.0
HdlStmIf-HdlStmCase,8.0,2.0,,
HdlOp-PrefixExpression_HdlStmIf-HdlStmIf,7.0,,,
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,9.0,3.0,2.0,2.0
HdlStmAssign-HdlStmProcess,3.0,,1.0,
HdlOp-TERNARY_HdlStmAssign-HdlStmAssign,8.0,3.0,2.0,1.0
HdlOp-PrefixExpression_HdlStmAssign-HdlStmAssign,2.0,,,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-PrefixExpression,1.0,1.0,,
HdlOp-InfixExpression_HdlStmAssign-HdlStmAssign,4.0,3.0,,1.0
HdlOp-PrefixExpression_HdlStmAssign-HdlOp-InfixExpression,3.0,2.0,1.0,
HdlStmIf-HdlStmProcess,31.0,8.0,3.0,5.0
HdlStmAssign-HdlModuleDef,4.0,13.0,,1.0
HdlOp-InfixExpression_HdlStmAssign-HdlOp-InfixExpression,3.0,3.0,,
HdlStmProcess-HdlModuleDef,9.0,9.0,4.0,2.0
HdlOp-PrefixExpression_HdlStmIf-HdlOp-InfixExpression,9.0,2.0,,8.0
HdlModuleDef-HdlContext,2.0,,2.0,
HdlDirection-HdlIdDef,2.0,,,
HdlOp-InfixExpression_HdlIdDef-HdlOp-DOWNTO,1.0,,,
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,2.0,2.0,2.0,
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,4.0,1.0,,
HdlModuleDec-HdlModuleDef,4.0,2.0,,2.0
HdlOp-DOWNTO_HdlStmAssign-HdlOp-MemberAccessing,1.0,,,
HdlIdDef-HdlModuleDef,1.0,10.0,24.0,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-TERNARY,,1.0,,
HdlOp-TERNARY_HdlStmAssign-HdlOp-TERNARY,,,1.0,
