,update,insert,delete,move
HdlIdDef-HdlModuleDef,9.0,8.0,1.0,8.0
HdlOp-DOWNTO_HdlIdDef-HdlOp-PARAMETRIZATION,1.0,,,
HdlStmIf-HdlStmProcess,13.0,,,
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,17.0,1.0,,
HdlStmAssign-HdlStmProcess,15.0,2.0,4.0,
HdlOp-InfixExpression_HdlStmAssign-HdlStmAssign,2.0,2.0,,1.0
HdlStmAssign-HdlStmIf,70.0,,,
HdlStmProcess-HdlModuleDef,10.0,7.0,4.0,6.0
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,5.0,2.0,,
HdlStmIf-HdlStmCase,7.0,,,
HdlOp-Assignment_HdlStmIf-HdlStmIf,1.0,3.0,,1.0
HdlOp-PrefixExpression_HdlStmAssign-HdlOp-InfixExpression,1.0,,,
HdlStmAssign-HdlModuleDef,3.0,2.0,2.0,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-InfixExpression,3.0,1.0,,
HdlStmIf-HdlStmIf,2.0,,,
HdlStmAssign-HdlStmCase,16.0,,,
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,8.0,,,
HdlOp-PrefixExpression_HdlStmIf-HdlOp-InfixExpression,,3.0,,
HdlOp-Assignment_HdlStmProcess-HdlStmProcess,,1.0,,
HdlOp-PrefixExpression_HdlStmIf-HdlStmIf,,,,2.0
