,update,insert,move,delete
HdlIdDef-HdlModuleDec,134.0,18.0,,1.0
HdlOp-InfixExpression_HdlIdDef-HdlOp-InfixExpression,46.0,41.0,,
HdlOp-InfixExpression_HdlIdDef-HdlIdDef,28.0,,,1.0
HdlStmCase-HdlStmProcess,68.0,,,
HdlOp-TERNARY_HdlStmCase-HdlOp-InfixExpression,3.0,,,
HdlOp-InfixExpression_HdlStmCase-HdlOp-TERNARY,3.0,,,
HdlIdDef-HdlModuleDef,138.0,140.0,2.0,52.0
HdlStmAssign-HdlModuleDef,31.0,39.0,2.0,46.0
HdlOp-InfixExpression_HdlStmAssign-HdlStmAssign,14.0,3.0,3.0,2.0
HdlStmIf-HdlStmIf,101.0,28.0,2.0,
HdlOp-Assignment_HdlStmIf-HdlStmIf,40.0,34.0,8.0,13.0
HdlStmIf-HdlStmProcess,68.0,13.0,9.0,6.0
HdlStmProcess-HdlModuleDef,96.0,2.0,2.0,2.0
HdlStmIf-HdlStmCase,70.0,3.0,1.0,1.0
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,48.0,21.0,8.0,7.0
HdlOp-InfixExpression_HdlStmIf-HdlOp-Assignment,9.0,,,3.0
HdlStmAssign-HdlStmFor,6.0,14.0,,
HdlStmFor-HdlStmIf,7.0,,,
HdlOp-Assignment_HdlStmFor-HdlStmFor,15.0,,,14.0
HdlStmAssign-HdlStmIf,73.0,47.0,59.0,104.0
HdlOp-Assignment_HdlStmProcess-HdlStmProcess,61.0,20.0,3.0,8.0
HdlOp-DOWNTO_HdlIdDef-HdlOp-PARAMETRIZATION,10.0,,,
HdlOp-PrefixExpression_HdlStmIf-HdlOp-InfixExpression,9.0,2.0,6.0,
HdlOp-FunctionCall_HdlIdDef-HdlIdDef,1.0,,,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-InfixExpression,15.0,6.0,4.0,1.0
HdlOp-MemberAccessing_HdlStmProcess-HdlOp-Assignment,8.0,8.0,,
HdlOp-MemberAccessing_HdlStmIf-HdlOp-Assignment,18.0,15.0,,
HdlOp-MemberAccessing_HdlStmIf-HdlOp-MemberAccessing,4.0,1.0,,
HdlOp-InfixExpression_HdlStmIf-HdlOp-MemberAccessing,4.0,1.0,,
HdlOp-MemberAccessing_HdlIdDef-HdlIdDef,33.0,23.0,1.0,5.0
HdlIdDef-HdlStmFor,3.0,1.0,,
HdlOp-InfixExpression_HdlIdDef-HdlOp-DOWNTO,14.0,,,
HdlOp-MemberAccessing_HdlStmCase-HdlOp-Assignment,5.0,5.0,,
HdlOp-Assignment_HdlStmCase-HdlStmCase,21.0,43.0,9.0,18.0
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,19.0,10.0,9.0,8.0
HdlStmFor-HdlStmProcess,2.0,,,
HdlOp-InfixExpression_HdlStmFor-HdlOp-InfixExpression,1.0,1.0,,
HdlOp-InfixExpression_HdlStmFor-HdlStmFor,2.0,,,
HdlOp-PARAMETRIZATION_HdlIdDef-HdlIdDef,9.0,2.0,2.0,
HdlOp-InfixExpression_HdlIdDef-HdlOp-MemberAccessing,7.0,7.0,,
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,30.0,7.0,6.0,7.0
HdlOp-MemberAccessing_HdlStmIf-HdlOp-InfixExpression,3.0,,1.0,1.0
HdlOp-InfixExpression_HdlStmAssign-HdlOp-PrefixExpression,2.0,,,
HdlStmIf-HdlStmFor,6.0,1.0,,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-MemberAccessing,7.0,7.0,,6.0
HdlOp-InfixExpression_HdlStmFor-HdlOp-Assignment,1.0,,,
HdlModuleDef-HdlContext,1.0,,1.0,
HdlStmIf-HdlModuleDef,2.0,,,
HdlStmCase-HdlStmIf,1.0,,,
HdlOp-FunctionCall_HdlIdDef-HdlOp-TERNARY,3.0,1.0,1.0,
HdlOp-InfixExpression_HdlIdDef-HdlOp-FunctionCall,1.0,,,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-MemberAccessing,,2.0,,
HdlStmAssign-HdlStmProcess,,6.0,7.0,3.0
HdlIdDef-HdlStmIf,,2.0,,
HdlStmProcess-HdlStmIf,,1.0,,
HdlOp-PrefixExpression_HdlStmAssign-HdlOp-InfixExpression,,,3.0,
HdlOp-MemberAccessing_HdlStmFor-HdlOp-Assignment,,,14.0,
HdlOp-PrefixExpression_HdlStmIf-HdlStmIf,,,1.0,1.0
float-HdlOp-InfixExpression,,,,8.0
HdlOp-MemberAccessing_HdlIdDef-HdlOp-MemberAccessing,,,,2.0
