,delete,insert,update,move
HdlIdDef-HdlModuleDec,1.0,2.0,,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-InfixExpression,2.0,1.0,,2.0
HdlOp-InfixExpression_HdlStmAssign-HdlOp-TERNARY,2.0,1.0,3.0,
HdlOp-TERNARY_HdlStmAssign-HdlStmAssign,2.0,1.0,3.0,
HdlStmAssign-HdlModuleDef,2.0,3.0,3.0,
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,4.0,,10.0,
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,2.0,,4.0,
HdlStmAssign-HdlStmIf,1.0,,3.0,4.0
HdlIdDef-HdlModuleDef,,5.0,,
HdlStmProcess-HdlModuleDef,,4.0,,
HdlOp-Assignment_HdlStmIf-HdlStmIf,,3.0,9.0,2.0
HdlStmIf-HdlStmProcess,,,5.0,
HdlOp-DOWNTO_HdlStmIf-HdlOp-MemberAccessing,,,10.0,
HdlStmIf-HdlStmCase,,,6.0,
