,insert,delete,update,move
HdlStmProcess-HdlModuleDef,1.0,,1.0,
HdlStmAssign-HdlModuleDef,1.0,,,
HdlOp-DOWNTO_HdlStmAssign-HdlOp-MemberAccessing,4.0,7.0,2.0,2.0
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-MemberAccessing,2.0,7.0,11.0,4.0
HdlStmAssign-HdlStmIf,2.0,,5.0,1.0
HdlStmIf-HdlStmIf,1.0,,8.0,
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,2.0,1.0,3.0,3.0
HdlIdDef-HdlModuleDef,3.0,1.0,3.0,
HdlOp-PARAMETRIZATION_HdlIdDef-HdlIdDef,1.0,,,1.0
HdlDirection-HdlIdDef,1.0,,,1.0
HdlOp-MemberAccessing_HdlIdDef-HdlIdDef,1.0,1.0,2.0,
HdlOp-MemberAccessing_HdlIdDef-HdlOp-MemberAccessing,2.0,5.0,10.0,2.0
HdlStmIf-HdlStmCase,1.0,,1.0,
HdlStmAssign-HdlStmCase,1.0,1.0,14.0,3.0
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,1.0,3.0,9.0,
HdlIdDef-HdlModuleDec,,3.0,2.0,
HdlOp-DOWNTO_HdlIdDef-HdlOp-MemberAccessing,,2.0,1.0,
HdlOp-DOWNTO_HdlStmIf-HdlOp-MemberAccessing,,1.0,,
HdlOp-MemberAccessing_HdlStmIf-HdlOp-MemberAccessing,,1.0,1.0,
HdlStmCase-HdlStmIf,,,4.0,
HdlStmAssign-HdlStmProcess,,,1.0,
HdlOp-InfixExpression_HdlIdDef-HdlOp-DOWNTO,,,1.0,
HdlStmIf-HdlStmProcess,,,1.0,1.0
HdlOp-MemberAccessing_HdlStmIf-HdlOp-InfixExpression,,,1.0,
HdlOp-PrefixExpression_HdlIdDef-HdlOp-MemberAccessing,,,,1.0
