,update,insert,move,delete
HdlStmAssign-HdlModuleDef,38.0,11.0,3.0,8.0
HdlOp-InfixExpression_HdlStmAssign-HdlStmAssign,11.0,3.0,3.0,1.0
HdlIdDef-HdlModuleDec,78.0,42.0,13.0,19.0
HdlOp-DOWNTO_HdlIdDef-HdlOp-MemberAccessing,8.0,,,
HdlStmProcess-HdlModuleDef,18.0,11.0,,12.0
HdlIdDef-HdlModuleDef,24.0,29.0,4.0,27.0
HdlStmIf-HdlStmIf,14.0,,2.0,1.0
HdlStmIf-HdlStmProcess,11.0,3.0,1.0,4.0
HdlOp-InfixExpression_HdlStmAssign-HdlOp-InfixExpression,14.0,2.0,1.0,2.0
HdlOp-PrefixExpression_HdlStmAssign-HdlStmAssign,2.0,,1.0,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-PrefixExpression,2.0,,,2.0
HdlStmAssign-HdlStmIf,22.0,8.0,4.0,10.0
HdlStmAssign-HdlStmCase,2.0,,,
HdlOp-DOWNTO_HdlStmAssign-HdlOp-MemberAccessing,4.0,,,
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,1.0,,2.0,1.0
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-MemberAccessing,1.0,,1.0,
HdlOp-PrefixExpression_HdlStmAssign-HdlOp-InfixExpression,4.0,3.0,,
HdlDirection-HdlIdDef,13.0,,,1.0
HdlOp-TERNARY_HdlStmAssign-HdlStmAssign,4.0,1.0,,2.0
HdlOp-InfixExpression_HdlIdDef-HdlIdDef,1.0,1.0,1.0,
HdlOp-DOWNTO_HdlIdDef-HdlOp-PARAMETRIZATION,13.0,1.0,,
HdlStmAssign-HdlStmProcess,10.0,4.0,2.0,7.0
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-TERNARY,3.0,2.0,4.0,4.0
HdlOp-TERNARY_HdlStmAssign-HdlOp-MemberAccessing,3.0,,,
HdlStmIf-HdlStmCase,16.0,,1.0,1.0
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,7.0,1.0,,3.0
HdlOp-PrefixExpression_HdlStmIf-HdlStmIf,17.0,,1.0,1.0
HdlOp-PrefixExpression_HdlStmIf-HdlOp-InfixExpression,3.0,1.0,3.0,1.0
HdlOp-Assignment_HdlStmProcess-HdlStmProcess,2.0,,,
HdlStmCase-HdlStmProcess,4.0,1.0,,1.0
HdlOp-Assignment_HdlStmCase-HdlStmCase,12.0,10.0,2.0,1.0
HdlOp-InfixExpression_HdlStmCase-HdlOp-Assignment,1.0,1.0,,
HdlOp-PrefixExpression_HdlStmCase-HdlOp-Assignment,2.0,,1.0,
HdlOp-Assignment_HdlStmIf-HdlStmIf,5.0,,1.0,1.0
HdlOp-InfixExpression_HdlIdDef-HdlOp-DOWNTO,1.0,1.0,,
HdlStmCase-HdlStmIf,2.0,,,
HdlOp-PARAMETRIZATION_HdlIdDef-HdlIdDef,3.0,4.0,2.0,4.0
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,2.0,,,
HdlOp-RISING_HdlStmProcess-HdlStmProcess,2.0,,,
HdlOp-FALLING_HdlStmProcess-HdlStmProcess,1.0,,,1.0
HdlOp-MemberAccessing_HdlStmCase-HdlOp-Assignment,3.0,,,
HdlModuleDef-HdlContext,1.0,,,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-InfixExpression,,1.0,,
HdlLibrary-HdlContext,,4.0,,3.0
HdlOp-InfixExpression_HdlIdDef-HdlOp-InfixExpression,,1.0,,
HdlOp-InfixExpression_HdlStmCase-HdlOp-InfixExpression,,1.0,,
HdlOp-MemberAccessing_HdlStmCase-HdlOp-MemberAccessing,,,,1.0
