,insert,update,move,delete
HdlIdDef-HdlModuleDef,10.0,9.0,7.0,2.0
HdlStmProcess-HdlModuleDef,2.0,2.0,2.0,
HdlDirection-HdlIdDef,3.0,,,2.0
HdlStmIf-HdlStmProcess,2.0,6.0,,
HdlStmAssign-HdlStmIf,8.0,8.0,,
HdlIdDef-HdlModuleDec,4.0,4.0,,
HdlOp-Assignment_HdlStmCase-HdlStmCase,1.0,,1.0,
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,9.0,35.0,8.0,
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,8.0,,2.0,
HdlStmAssign-HdlModuleDef,7.0,15.0,,6.0
HdlModuleDef-HdlContext,2.0,5.0,,2.0
HdlOp-MemberAccessing_HdlIdDef-HdlIdDef,2.0,,,2.0
HdlOp-TERNARY_HdlStmAssign-HdlStmAssign,6.0,12.0,,6.0
HdlOp-InfixExpression_HdlStmAssign-HdlOp-TERNARY,30.0,,,30.0
HdlOp-TERNARY_HdlStmAssign-HdlOp-TERNARY,24.0,48.0,,24.0
HdlLibrary-HdlContext,1.0,,,1.0
HdlStmCase-HdlFunctionDef,,2.0,,
HdlStmCase-HdlStmIf,,1.0,1.0,
HdlOp-InfixExpression_HdlStmAssign-HdlStmAssign,,2.0,1.0,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-InfixExpression,,1.0,,
HdlOp-DOWNTO_HdlIdDef-HdlOp-MemberAccessing,,6.0,,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-InfixExpression,,4.0,,
HdlOp-DOWNTO_HdlStmAssign-HdlOp-MemberAccessing,,4.0,,
HdlStmIf-HdlStmIf,,11.0,,
HdlOp-DOWNTO_HdlStmIf-HdlOp-MemberAccessing,,8.0,,
HdlModuleDec-HdlContext,,,2.0,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-TERNARY,,,36.0,
