,insert,update,delete
HdlStmAssign-HdlModuleDef,1.0,5.0,
HdlOp-MemberAccessing_HdlIdDef-HdlOp-TERNARY,1.0,1.0,
HdlIdDef-HdlModuleDec,1.0,2.0,3.0
HdlOp-PARAMETRIZATION_HdlIdDef-HdlIdDef,4.0,,1.0
HdlIdDef-HdlModuleDef,1.0,8.0,
HdlOp-MemberAccessing_HdlStmIf-HdlStmIf,1.0,,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-InfixExpression,,1.0,
HdlOp-InfixExpression_HdlStmAssign-HdlStmAssign,,1.0,
HdlOp-PrefixExpression_HdlStmAssign-HdlOp-MemberAccessing,,1.0,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-InfixExpression,,5.0,
HdlStmIf-HdlStmProcess,,2.0,
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,,2.0,
HdlModuleDec-HdlModuleDef,,8.0,
HdlStmCase-HdlStmProcess,,2.0,
HdlStmIf-HdlStmIf,,1.0,
HdlOp-InfixExpression_HdlIdDef-HdlOp-InfixExpression,,1.0,
HdlStmAssign-HdlStmIf,,,1.0
