,move,insert,update,delete
HdlIdDef-HdlModuleDec,12.0,39.0,8.0,9.0
HdlOp-FunctionCall_HdlStmIf-HdlStmIf,1.0,,,
HdlOp-InfixExpression_HdlStmAssign-HdlStmAssign,1.0,1.0,3.0,
HdlOp-PrefixExpression_HdlStmIf-HdlStmIf,1.0,,,
HdlStmAssign-HdlStmIf,1.0,6.0,10.0,1.0
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,1.0,1.0,1.0,
HdlStmNop-HdlStmIf,1.0,3.0,,
HdlOp-FunctionCall_HdlStmProcess-HdlStmProcess,6.0,,,2.0
HdlOp-Assignment_HdlStmProcess-HdlStmProcess,9.0,3.0,2.0,
HdlStmProcess-HdlStmProcess,2.0,,,
HdlStmWait-HdlStmProcess,1.0,1.0,,
HdlStmCase-HdlStmProcess,2.0,,1.0,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-InfixExpression,1.0,1.0,1.0,
HdlOp-TERNARY_HdlStmAssign-HdlStmAssign,1.0,,5.0,
HdlStmProcess-HdlModuleDef,2.0,4.0,10.0,2.0
HdlIdDef-HdlModuleDef,1.0,29.0,1.0,18.0
HdlOp-FunctionCall_HdlFunctionDef-HdlFunctionDef,2.0,65.0,,
HdlStmIf-HdlStmProcess,,1.0,5.0,1.0
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,,1.0,,
HdlStmProcess-HdlStmIf,,1.0,,
HdlOp-Assignment_HdlFunctionDef-HdlFunctionDef,,16.0,,1.0
HdlStmAssign-HdlModuleDef,,5.0,7.0,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-TERNARY,,1.0,1.0,
HdlStmRepeat-HdlFunctionDef,,2.0,,
HdlStmIf-HdlFunctionDef,,,2.0,
HdlOp-DOWNTO_HdlIdDef-HdlOp-PARAMETRIZATION,,,2.0,
HdlFunctionDef-HdlModuleDef,,,5.0,
HdlStmCase-HdlStmIf,,,2.0,
HdlOp-Assignment_HdlStmCase-HdlStmCase,,,3.0,
HdlOp-PrefixExpression_HdlStmIf-HdlOp-InfixExpression,,,1.0,
HdlModuleDef-HdlContext,,,1.0,
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,,,6.0,
