,delete,update,move,insert
HdlIdDef-HdlModuleDec,21.0,102.0,26.0,58.0
HdlOp-InfixExpression_HdlStmAssign-HdlStmAssign,18.0,66.0,20.0,27.0
HdlOp-PrefixExpression_HdlStmIf-HdlOp-InfixExpression,11.0,32.0,5.0,20.0
HdlOp-Assignment_HdlStmProcess-HdlStmProcess,20.0,25.0,6.0,13.0
HdlOp-InfixExpression_HdlStmAssign-HdlOp-InfixExpression,36.0,79.0,17.0,59.0
HdlStmProcess-HdlModuleDef,35.0,57.0,5.0,57.0
HdlOp-InfixExpression_HdlStmAssign-HdlOp-TERNARY,5.0,9.0,6.0,1.0
HdlOp-TERNARY_HdlStmAssign-HdlStmAssign,6.0,12.0,2.0,1.0
HdlStmIf-HdlStmProcess,19.0,242.0,10.0,38.0
HdlOp-FunctionCall_HdlStmIf-HdlStmIf,1.0,,5.0,1.0
HdlStmIf-HdlStmIf,7.0,134.0,10.0,41.0
HdlStmAssign-HdlStmIf,48.0,232.0,48.0,80.0
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-InfixExpression,10.0,11.0,7.0,3.0
HdlOp-MemberAccessing_HdlStmIf-HdlOp-InfixExpression,23.0,29.0,10.0,12.0
HdlOp-InfixExpression_HdlStmIf-HdlOp-InfixExpression,21.0,94.0,35.0,41.0
HdlOp-InfixExpression_HdlStmIf-HdlStmIf,29.0,130.0,42.0,59.0
HdlOp-MemberAccessing_HdlStmIf-HdlOp-PrefixExpression,5.0,9.0,,
HdlIdDef-HdlModuleDef,48.0,25.0,25.0,100.0
HdlStmAssign-HdlStmProcess,5.0,21.0,7.0,5.0
HdlStmCase-HdlStmIf,5.0,13.0,2.0,2.0
HdlStmProcess-HdlStmIf,16.0,37.0,7.0,10.0
HdlStmAssign-HdlModuleDef,17.0,56.0,3.0,45.0
HdlOp-InfixExpression_HdlIdDef-HdlIdDef,1.0,3.0,,
HdlOp-Assignment_HdlStmCase-HdlStmCase,6.0,5.0,1.0,6.0
HdlOp-PrefixExpression_HdlStmAssign-HdlOp-InfixExpression,8.0,7.0,10.0,6.0
HdlOp-PARAMETRIZATION_HdlIdDef-HdlIdDef,4.0,10.0,,1.0
HdlOp-InfixExpression_HdlIdDef-HdlOp-InfixExpression,2.0,5.0,,
HdlStmIf-HdlModuleDef,7.0,57.0,,18.0
HdlStmCase-HdlStmProcess,5.0,10.0,,5.0
HdlOp-DOWNTO_HdlStmAssign-HdlOp-MemberAccessing,8.0,30.0,,2.0
HdlStmAssign-HdlStmCase,6.0,40.0,7.0,
HdlOp-MemberAccessing_HdlStmIf-HdlOp-MemberAccessing,1.0,2.0,,1.0
HdlOp-PrefixExpression_HdlStmIf-HdlStmIf,2.0,2.0,12.0,5.0
HdlOp-InfixExpression_HdlStmAssign-HdlOp-DOWNTO,5.0,46.0,2.0,2.0
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-MemberAccessing,3.0,31.0,8.0,7.0
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,3.0,29.0,19.0,12.0
HdlOp-Assignment_HdlStmIf-HdlStmIf,4.0,15.0,1.0,9.0
HdlOp-MemberAccessing_HdlStmCase-HdlStmCase,1.0,,6.0,2.0
HdlIdDef-HdlStmIf,2.0,2.0,3.0,7.0
HdlOp-DOWNTO_HdlIdDef-HdlOp-MemberAccessing,1.0,,1.0,1.0
HdlOp-MemberAccessing_HdlIdDef-HdlIdDef,2.0,6.0,,2.0
HdlDirection-HdlIdDef,2.0,4.0,,5.0
HdlOp-InfixExpression_HdlIdDef-HdlOp-DOWNTO,1.0,34.0,,1.0
HdlOp-DOWNTO_HdlIdDef-HdlOp-PARAMETRIZATION,1.0,5.0,,
HdlOp-FunctionCall_HdlStmIf-HdlOp-InfixExpression,1.0,1.0,,
HdlOp-PrefixExpression_HdlStmAssign-HdlStmAssign,1.0,7.0,1.0,2.0
HdlOp-PARAMETRIZATION_HdlIdDef-HdlOp-MemberAccessing,1.0,,1.0,1.0
HdlOp-DOWNTO_HdlStmProcess-HdlOp-MemberAccessing,,5.0,,1.0
HdlOp-InfixExpression_HdlStmProcess-HdlOp-Assignment,,1.0,1.0,
HdlOp-InfixExpression_HdlStmIf-HdlOp-DOWNTO,,10.0,,2.0
HdlOp-DOWNTO_HdlStmIf-HdlOp-MemberAccessing,,7.0,,2.0
HdlStmIf-HdlStmCase,,11.0,,6.0
HdlOp-MemberAccessing_HdlStmIf-HdlOp-Assignment,,1.0,,1.0
HdlOp-MemberAccessing_HdlStmCase-HdlOp-Assignment,,2.0,2.0,
HdlOp-MemberAccessing_HdlStmCase-HdlOp-MemberAccessing,,7.0,2.0,4.0
HdlFunctionDef-HdlModuleDef,,2.0,,1.0
HdlOp-MemberAccessing_HdlFunctionDef-HdlOp-Assignment,,2.0,,
HdlOp-InfixExpression_HdlStmIf-HdlOp-MemberAccessing,,2.0,1.0,
HdlOp-TERNARY_HdlStmAssign-HdlOp-MemberAccessing,,2.0,,2.0
HdlOp-InfixExpression_HdlIdDef-HdlOp-MemberAccessing,,2.0,,
HdlStmFor-HdlStmIf,,7.0,2.0,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-PrefixExpression,,8.0,,1.0
HdlOp-MemberAccessing_HdlStmProcess-HdlOp-Assignment,,4.0,5.0,1.0
HdlOp-MemberAccessing_HdlStmProcess-HdlOp-MemberAccessing,,1.0,,
HdlOp-InfixExpression_HdlStmProcess-HdlOp-MemberAccessing,,1.0,,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-MemberAccessing,,3.0,,3.0
HdlStmIf-HdlStmFor,,1.0,,
HdlOp-FunctionCall_HdlIdDef-HdlOp-InfixExpression,,1.0,1.0,1.0
HdlOp-InfixExpression_HdlIdDef-HdlOp-FunctionCall,,1.0,,1.0
HdlStmFor-HdlStmFor,,4.0,1.0,
HdlOp-InfixExpression_HdlStmFor-HdlOp-InfixExpression,,5.0,,2.0
HdlOp-InfixExpression_HdlStmFor-HdlStmFor,,1.0,,1.0
HdlStmProcess-HdlStmFor,,3.0,1.0,
HdlOp-InfixExpression_HdlStmProcess-HdlOp-InfixExpression,,8.0,,2.0
HdlOp-TERNARY_HdlStmAssign-HdlOp-TERNARY,,2.0,,
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-TERNARY,,3.0,1.0,3.0
HdlOp-TERNARY_HdlIdDef-HdlIdDef,,2.0,,
HdlOp-InfixExpression_HdlStmIf-HdlOp-FunctionCall,,4.0,,1.0
HdlOp-FunctionCall_HdlStmIf-HdlOp-PrefixExpression,,2.0,,
HdlOp-FunctionCall_HdlStmIf-HdlOp-FunctionCall,,1.0,1.0,
HdlOp-PrefixExpression_HdlStmProcess-HdlOp-Assignment,,2.0,1.0,2.0
HdlOp-PrefixExpression_HdlStmProcess-HdlOp-InfixExpression,,1.0,,
HdlOp-FunctionCall_HdlStmProcess-HdlOp-Assignment,,1.0,,
HdlOp-MemberAccessing_HdlStmProcess-HdlOp-PrefixExpression,,1.0,,
HdlStmWait-HdlStmProcess,,,6.0,
HdlStmNop-HdlStmIf,,,,1.0
HdlOp-Assignment_HdlFunctionDef-HdlFunctionDef,,,,1.0
HdlOp-InfixExpression_HdlStmProcess-HdlOp-DOWNTO,,,,1.0
HdlOp-MemberAccessing_HdlStmIf-HdlStmIf,,,,1.0
HdlOp-TERNARY_HdlStmIf-HdlOp-InfixExpression,,,,1.0
